operator_id,user_id,name,license_number,experience_years,certification,safety_score,accident_history,country,status,emergency_contact,created_at
OP0001,USR00001,Kai Chen,LIC-AU-401897,13,Advanced,57.8,1,Australia,active,+61-486744801,2021-08-22
OP0002,USR00002,Ganesh Chauhan,LIC-IN-991125,8,Expert,96.5,2,India,active,+91-6752161682,2021-10-03
OP0003,USR00003,Nikhil Naidu,LIC-IN-791095,4,Basic,71.7,0,India,active,+91-6787887346,2020-12-17
OP0004,USR00004,Andrew Lewis,LIC-US-265603,4,Expert,90.5,1,USA,active,+1-7470827452,2021-02-27
OP0005,USR00005,Scott Williams,LIC-US-617459,15,Expert,84.2,0,USA,active,+1-8061393521,2020-10-13
OP0006,USR00006,Steven Williams,LIC-US-441849,19,Advanced,81.1,0,USA,active,+1-3761349189,2022-06-17
OP0007,USR00007,Rohan Sharma,LIC-IN-828221,5,Basic,87.2,1,India,active,+91-8901774665,2020-10-26
OP0008,USR00008,Brian Robinson,LIC-US-111258,12,Basic,99.0,2,USA,active,+1-3076343427,2020-12-06
OP0009,USR00009,Hunter Nelson,LIC-AU-186558,6,Advanced,83.9,0,Australia,active,+61-473608832,2021-01-29
OP0010,USR00010,Ashok Reddy,LIC-IN-269205,4,Basic,87.4,0,India,active,+91-6732674578,2020-07-27
OP0011,USR00011,Vikram Nair,LIC-IN-509835,6,Advanced,88.6,1,India,active,+91-6723501739,2022-09-14
OP0012,USR00012,Klaus Hofmann,LIC-GE-327197,6,Basic,82.1,1,Germany,active,+49-4068377371,2021-01-10
OP0013,USR00013,Ryan Lewis,LIC-US-772149,6,Expert,73.7,2,USA,active,+1-9140554675,2021-01-26
OP0014,USR00014,Riley Carter,LIC-AU-104892,9,Basic,70.8,1,Australia,active,+61-406531664,2020-10-03
OP0015,USR00015,Daniel Wilson,LIC-US-116817,8,Basic,87.1,1,USA,active,+1-3811113558,2022-11-18
OP0016,USR00016,Deepak Bhat,LIC-IN-201295,8,Basic,86.7,3,India,active,+91-9422763219,2020-07-30
OP0017,USR00017,Manfred Lange,LIC-GE-955244,5,Advanced,74.5,1,Germany,active,+49-6700029200,2021-05-06
OP0018,USR00018,Jeffrey Davis,LIC-US-324164,10,Basic,100.0,2,USA,active,+1-2454773975,2022-01-05
