operator_id,operator_name,license_number,experience_years
OP200,Operator_000,LIC833247,10
OP201,Operator_001,LIC123005,22
OP202,Operator_002,LIC515032,9
OP203,Operator_003,LIC108491,19
OP204,Operator_004,LIC819112,25
OP205,Operator_005,LIC880841,2
OP206,Operator_006,LIC735863,24
OP207,Operator_007,LIC620856,10
OP208,Operator_008,LIC913423,8
OP209,Operator_009,LIC736553,12
OP210,Operator_010,LIC329642,21
OP211,Operator_011,LIC299367,20
OP212,Operator_012,LIC362801,22
OP213,Operator_013,LIC892280,24
OP214,Operator_014,LIC904751,22
OP215,Operator_015,LIC813928,5
OP216,Operator_016,LIC758765,4
OP217,Operator_017,LIC757937,21
OP218,Operator_018,LIC141337,10
OP219,Operator_019,LIC926918,15
OP220,Operator_020,LIC134985,19
OP221,Operator_021,LIC482584,24
OP222,Operator_022,LIC237795,3
OP223,Operator_023,LIC409445,11
OP224,Operator_024,LIC883790,14
OP225,Operator_025,LIC284171,7
OP226,Operator_026,LIC238579,18
OP227,Operator_027,LIC483629,17
OP228,Operator_028,LIC626169,9
OP229,Operator_029,LIC970813,6
OP230,Operator_030,LIC369452,16
OP231,Operator_031,LIC945664,10
OP232,Operator_032,LIC882824,11
OP233,Operator_033,LIC943298,4
OP234,Operator_034,LIC591081,3
OP235,Operator_035,LIC247594,25
OP236,Operator_036,LIC336574,22
OP237,Operator_037,LIC859396,22
OP238,Operator_038,LIC516716,18
OP239,Operator_039,LIC483542,3
OP240,Operator_040,LIC929090,13
OP241,Operator_041,LIC114594,9
OP242,Operator_042,LIC662636,4
OP243,Operator_043,LIC576877,12
OP244,Operator_044,LIC805511,24
OP245,Operator_045,LIC805000,9
OP246,Operator_046,LIC712955,13
OP247,Operator_047,LIC962367,21
OP248,Operator_048,LIC489518,4
OP249,Operator_049,LIC807617,8
OP250,Operator_050,LIC594379,1
OP251,Operator_051,LIC749641,18
OP252,Operator_052,LIC443939,20
OP253,Operator_053,LIC332120,21
OP254,Operator_054,LIC166287,21
OP255,Operator_055,LIC963874,15
OP256,Operator_056,LIC835132,10
OP257,Operator_057,LIC780776,14
OP258,Operator_058,LIC222343,5
OP259,Operator_059,LIC147549,2
